median house value,median income,housing median age,total rooms,total bedrooms,population,households,latitude,longitude
7.50E+04,3.21E+00,2.60E+01,1.73E+03,2.89E+02,8.02E+02,2.59E+02,3.6439999999999998e+001 -1.1977000000000000e+002,
7.92E+04,2.81E+00,2.90E+01,1.70E+03,3.01E+02,9.14E+02,2.80E+02,3.6460000000000001e+001 -1.1969000000000000e+002,
5.79E+04,1.78E+00,2.90E+01,1.80E+03,3.56E+02,1.28E+03,3.87E+02,3.6430000000000000e+001 -1.1969000000000000e+002,
7.25E+04,2.40E+00,3.40E+01,1.37E+03,2.87E+02,8.18E+02,2.69E+02,3.6539999999999999e+001 -1.1987000000000000e+002,
7.68E+04,2.02E+00,3.20E+01,1.39E+03,2.76E+02,9.99E+02,2.45E+02,3.6549999999999997e+001 -1.1979000000000001e+002,
8.36E+04,2.73E+00,3.10E+01,1.24E+03,2.54E+02,7.67E+02,2.26E+02,3.6509999999999998e+001 -1.1981000000000000e+002,
7.82E+04,2.44E+00,1.90E+01,1.31E+03,2.41E+02,7.02E+02,2.17E+02,3.6539999999999999e+001 -1.1984000000000000e+002,
6.00E+04,2.52E+00,3.10E+01,1.73E+03,3.32E+02,9.79E+02,2.94E+02,3.6539999999999999e+001 -1.1983000000000000e+002,
9.00E+04,2.98E+00,3.40E+01,1.42E+03,2.37E+02,7.16E+02,2.22E+02,3.6640000000000001e+001 -1.1989000000000000e+002,
6.94E+04,2.03E+00,1.70E+01,1.50E+03,3.08E+02,1.43E+03,2.47E+02,3.6570000000000000e+001 -1.1997000000000000e+002,
7.46E+04,2.48E+00,2.00E+01,1.94E+03,3.63E+02,1.32E+03,3.59E+02,3.6579999999999998e+001 -1.1990000000000001e+002,
7.64E+04,2.40E+00,2.40E+01,2.25E+03,4.62E+02,1.29E+03,3.94E+02,3.6600000000000001e+001 -1.1981000000000000e+002,
7.56E+04,2.45E+00,1.90E+01,2.44E+03,4.62E+02,1.42E+03,4.69E+02,3.6450000000000003e+001 -1.1986000000000000e+002,
5.84E+04,1.72E+00,3.40E+01,1.18E+03,2.51E+02,6.83E+02,2.61E+02,3.6430000000000000e+001 -1.1986000000000000e+002,
6.09E+04,2.89E+00,2.30E+01,1.82E+03,3.54E+02,1.15E+03,3.62E+02,3.6430000000000000e+001 -1.1984999999999999e+002,
3.92E+04,2.18E+00,1.80E+01,1.13E+03,2.37E+02,7.72E+02,2.20E+02,3.6439999999999998e+001 -1.1997000000000000e+002,
1.13E+05,2.12E+00,1.80E+01,1.52E+03,4.14E+02,2.03E+03,3.56E+02,3.6340000000000003e+001 -1.2008000000000000e+002,
5.50E+04,2.33E+00,1.70E+01,5.98E+02,1.60E+02,7.15E+02,1.46E+02,3.6159999999999997e+001 -1.2009999999999999e+002,
6.47E+04,1.51E+00,1.20E+01,1.46E+03,3.56E+02,1.71E+03,3.67E+02,3.6210000000000001e+001 -1.2009999999999999e+002,
5.51E+04,1.42E+00,1.20E+01,1.92E+03,5.59E+02,2.81E+03,5.35E+02,3.6189999999999998e+001 -1.2009000000000000e+002,
8.75E+04,2.44E+00,1.10E+01,1.34E+03,4.12E+02,1.38E+03,3.18E+02,3.6289999999999999e+001 -1.2027000000000000e+002,
1.04E+05,2.15E+00,2.90E+01,5.79E+02,1.16E+02,2.18E+02,9.90E+01,3.6180000000000000e+001 -1.2043000000000001e+002,
6.50E+04,3.07E+00,3.60E+01,6.13E+02,1.24E+02,3.10E+02,1.24E+02,3.6159999999999997e+001 -1.2037000000000000e+002,
6.20E+04,1.83E+00,1.80E+01,1.21E+03,2.74E+02,6.22E+02,2.17E+02,3.6140000000000001e+001 -1.2036000000000000e+002,
7.00E+04,2.75E+00,1.70E+01,2.28E+03,4.48E+02,1.20E+03,4.20E+02,3.6149999999999999e+001 -1.2038000000000000e+002,
8.64E+04,3.26E+00,1.00E+01,2.52E+03,5.33E+02,1.34E+03,4.93E+02,3.6130000000000003e+001 -1.2037000000000000e+002,
8.63E+04,4.38E+00,3.40E+01,2.08E+03,3.39E+02,8.68E+02,3.47E+02,3.6149999999999999e+001 -1.2037000000000000e+002,
8.53E+04,2.78E+00,1.80E+01,1.52E+03,2.96E+02,8.46E+02,2.72E+02,3.6159999999999997e+001 -1.2034999999999999e+002,
6.04E+04,1.71E+00,9.00E+00,2.67E+03,6.47E+02,1.48E+03,5.41E+02,3.6140000000000001e+001 -1.2034999999999999e+002,
5.55E+04,3.01E+00,2.90E+01,1.94E+03,4.34E+02,1.31E+03,4.15E+02,3.6130000000000003e+001 -1.2036000000000000e+002,
7.66E+04,2.25E+00,2.40E+01,9.43E+02,2.09E+02,5.14E+02,1.56E+02,3.6649999999999999e+001 -1.2031000000000000e+002,
6.60E+04,2.49E+00,3.10E+01,1.18E+03,2.21E+02,7.44E+02,2.23E+02,3.6649999999999999e+001 -1.2025000000000000e+002,
9.06E+04,2.30E+00,2.50E+01,9.48E+02,1.98E+02,6.13E+02,1.71E+02,3.6590000000000003e+001 -1.2018000000000001e+002,
5.72E+04,2.29E+00,2.90E+01,1.48E+03,3.38E+02,1.41E+03,3.22E+02,3.6609999999999999e+001 -1.2019000000000000e+002,
5.83E+04,1.55E+00,2.50E+01,8.75E+02,2.14E+02,9.31E+02,2.14E+02,3.6600000000000001e+001 -1.2019000000000000e+002,
5.60E+04,2.48E+00,1.40E+01,1.51E+03,3.47E+02,1.68E+03,3.45E+02,3.6490000000000002e+001 -1.2022000000000000e+002,
6.89E+04,1.95E+00,2.40E+01,1.34E+03,3.12E+02,1.18E+03,2.67E+02,3.6770000000000003e+001 -1.2041000000000000e+002,
1.13E+05,2.50E+00,1.80E+01,8.19E+02,1.98E+02,9.96E+02,1.98E+02,3.6719999999999999e+001 -1.2067000000000000e+002,
3.88E+04,1.94E+00,2.00E+01,1.19E+03,2.63E+02,1.27E+03,2.41E+02,3.6549999999999997e+001 -1.2051000000000001e+002,
5.52E+04,1.72E+00,1.10E+01,1.95E+03,4.88E+02,2.10E+03,4.86E+02,3.6780000000000001e+001 -1.2039000000000000e+002,
6.00E+04,1.91E+00,2.50E+01,1.69E+03,4.95E+02,1.75E+03,4.57E+02,3.6750000000000000e+001 -1.2038000000000000e+002,
5.80E+04,1.81E+00,2.50E+01,9.91E+02,2.72E+02,9.41E+02,2.62E+02,3.6759999999999998e+001 -1.2038000000000000e+002,
5.43E+04,1.40E+00,1.20E+01,9.32E+02,2.44E+02,1.04E+03,2.43E+02,3.6759999999999998e+001 -1.2038000000000000e+002,
6.30E+04,1.34E+00,2.00E+01,1.29E+03,3.10E+02,9.54E+02,2.69E+02,3.6869999999999997e+001 -1.2045999999999999e+002,
6.60E+04,2.35E+00,3.40E+01,6.73E+02,1.73E+02,5.39E+02,1.82E+02,3.6859999999999999e+001 -1.2045000000000000e+002,
9.05E+04,2.82E+00,2.90E+01,1.56E+03,2.93E+02,8.83E+02,2.88E+02,3.6840000000000003e+001 -1.2044000000000000e+002,
5.81E+04,2.18E+00,2.00E+01,1.52E+03,3.76E+02,1.68E+03,3.70E+02,3.6850000000000001e+001 -1.2045000000000000e+002,
7.19E+04,2.44E+00,2.10E+01,1.78E+03,3.99E+02,1.45E+03,3.71E+02,3.6859999999999999e+001 -1.2051000000000001e+002,
7.44E+04,2.33E+00,4.20E+01,1.77E+03,3.44E+02,1.08E+03,3.23E+02,3.6969999999999999e+001 -1.2055000000000000e+002,
5.50E+04,2.21E+00,1.80E+01,9.02E+02,1.95E+02,7.71E+02,1.74E+02,3.6840000000000003e+001 -1.2069000000000000e+002,
6.75E+04,4.13E+00,4.60E+01,5.50E+01,1.10E+01,2.60E+01,5.00E+00,3.6509999999999998e+001 -1.1955000000000000e+002,
1.63E+05,4.63E+00,3.60E+01,4.90E+01,7.00E+00,2.80E+01,2.00E+00,3.6509999999999998e+001 -1.1954000000000001e+002,
6.37E+04,2.02E+00,1.80E+01,2.60E+03,5.76E+02,1.62E+03,5.88E+02,3.9750000000000000e+001 -1.2220000000000000e+002,
6.75E+04,1.69E+00,3.00E+01,4.16E+03,8.34E+02,1.89E+03,7.74E+02,3.9750000000000000e+001 -1.2218000000000001e+002,
8.50E+04,3.05E+00,2.00E+01,7.07E+02,1.26E+02,3.37E+02,1.25E+02,3.9740000000000002e+001 -1.2216000000000000e+002,
6.56E+04,2.35E+00,3.90E+01,4.18E+03,8.14E+02,2.11E+03,8.09E+02,3.9740000000000002e+001 -1.2219000000000000e+002,
7.22E+04,3.05E+00,1.60E+01,2.13E+03,4.12E+02,1.10E+03,3.69E+02,3.9789999999999999e+001 -1.2225000000000000e+002,
6.96E+04,2.33E+00,3.20E+01,1.29E+03,2.21E+02,5.62E+02,2.03E+02,3.9780000000000001e+001 -1.2216000000000000e+002,
9.43E+04,2.26E+00,2.00E+01,1.40E+03,2.80E+02,6.68E+02,2.50E+02,3.9740000000000002e+001 -1.2213000000000000e+002,
8.54E+04,3.35E+00,2.30E+01,1.66E+03,3.07E+02,8.36E+02,2.97E+02,3.9700000000000003e+001 -1.2218000000000001e+002,
7.31E+04,1.94E+00,1.60E+01,2.03E+03,3.96E+02,1.03E+03,3.82E+02,3.9750000000000000e+001 -1.2223000000000000e+002,
1.50E+04,1.66E+00,1.60E+01,2.55E+02,7.30E+01,8.50E+01,3.80E+01,3.9710000000000001e+001 -1.2273999999999999e+002,
6.75E+04,2.39E+00,2.10E+01,1.16E+03,2.10E+02,5.10E+02,1.75E+02,3.9680000000000000e+001 -1.2238000000000000e+002,
8.75E+04,3.64E+00,3.30E+01,4.19E+02,7.70E+01,1.90E+02,6.70E+01,3.9649999999999999e+001 -1.2214000000000000e+002,
8.16E+04,3.25E+00,2.80E+01,1.47E+03,2.59E+02,6.73E+02,2.46E+02,3.9549999999999997e+001 -1.2218000000000001e+002,
7.19E+04,2.49E+00,2.50E+01,1.23E+03,2.40E+02,6.58E+02,2.11E+02,3.9500000000000000e+001 -1.2253000000000000e+002,
5.87E+04,2.17E+00,3.40E+01,2.68E+03,5.33E+02,1.29E+03,5.05E+02,3.9530000000000001e+001 -1.2219000000000000e+002,
7.10E+04,2.36E+00,2.20E+01,3.27E+03,6.58E+02,1.65E+03,5.94E+02,3.9530000000000001e+001 -1.2220000000000000e+002,
1.25E+05,1.37E+00,8.00E+00,1.27E+03,3.36E+02,1.24E+03,3.26E+02,3.9530000000000001e+001 -1.2223000000000000e+002,
6.69E+04,2.10E+00,1.70E+01,1.20E+03,2.68E+02,5.55E+02,2.77E+02,3.9509999999999998e+001 -1.2222000000000000e+002,
6.34E+04,2.06E+00,3.90E+01,2.55E+03,4.82E+02,1.18E+03,4.37E+02,3.9520000000000003e+001 -1.2220000000000000e+002,
6.97E+04,2.83E+00,3.70E+01,2.36E+03,4.13E+02,1.06E+03,4.24E+02,3.9509999999999998e+001 -1.2220000000000000e+002,
5.30E+04,2.17E+00,2.30E+01,4.62E+02,9.70E+01,2.61E+02,9.00E+01,3.9500000000000000e+001 -1.2219000000000000e+002,
7.00E+04,2.56E+00,2.30E+01,2.50E+03,4.81E+02,1.44E+03,4.55E+02,3.9719999999999999e+001 -1.2204000000000001e+002,
9.53E+04,2.85E+00,3.40E+01,2.05E+03,3.42E+02,9.58E+02,3.22E+02,3.9600000000000001e+001 -1.2205000000000000e+002,
7.71E+04,2.49E+00,4.30E+01,1.32E+03,2.15E+02,5.12E+02,1.97E+02,3.9469999999999999e+001 -1.2209999999999999e+002,
7.05E+04,1.83E+00,3.90E+01,8.44E+02,1.61E+02,5.35E+02,1.65E+02,3.9450000000000003e+001 -1.2194000000000000e+002,
5.87E+04,2.17E+00,2.00E+01,2.33E+03,5.18E+02,1.86E+03,4.95E+02,3.9740000000000002e+001 -1.2201000000000001e+002,
6.00E+04,9.57E-01,5.20E+01,6.61E+02,3.16E+02,3.92E+02,2.44E+02,4.0799999999999997e+001 -1.2417000000000000e+002,
8.05E+04,1.73E+00,5.20E+01,2.42E+03,6.18E+02,1.15E+03,5.71E+02,4.0799999999999997e+001 -1.2416000000000000e+002,
7.69E+04,1.78E+00,5.20E+01,1.26E+03,2.77E+02,5.91E+02,2.84E+02,4.0789999999999999e+001 -1.2416000000000000e+002,
7.55E+04,1.59E+00,5.20E+01,1.61E+03,4.19E+02,8.91E+02,3.67E+02,4.0799999999999997e+001 -1.2417000000000000e+002,
6.25E+04,1.85E+00,5.20E+01,1.56E+03,3.44E+02,7.58E+02,3.19E+02,4.0799999999999997e+001 -1.2417000000000000e+002,
9.27E+04,2.26E+00,5.20E+01,2.15E+03,4.21E+02,9.75E+02,4.30E+02,4.0789999999999999e+001 -1.2416000000000000e+002,
8.54E+04,2.54E+00,5.00E+01,2.29E+03,4.03E+02,8.37E+02,3.53E+02,4.0780000000000001e+001 -1.2416000000000000e+002,
6.83E+04,1.64E+00,3.90E+01,1.61E+03,3.30E+02,7.31E+02,3.27E+02,4.0780000000000001e+001 -1.2417000000000000e+002,
7.00E+04,1.82E+00,3.70E+01,1.37E+03,3.19E+02,6.40E+02,2.60E+02,4.0780000000000001e+001 -1.2419000000000000e+002,
7.05E+04,1.75E+00,3.90E+01,1.84E+03,3.52E+02,8.83E+02,3.37E+02,4.0789999999999999e+001 -1.2418000000000001e+002,
6.46E+04,1.47E+00,4.00E+01,1.40E+03,3.11E+02,7.88E+02,2.79E+02,4.0789999999999999e+001 -1.2418000000000001e+002,
7.05E+04,1.97E+00,4.30E+01,2.29E+03,4.79E+02,1.17E+03,4.82E+02,4.0789999999999999e+001 -1.2417000000000000e+002,
8.20E+04,2.90E+00,4.30E+01,2.24E+03,4.46E+02,9.32E+02,3.95E+02,4.0780000000000001e+001 -1.2416000000000000e+002,
8.56E+04,2.85E+00,3.50E+01,2.14E+03,4.38E+02,1.05E+03,4.34E+02,4.0770000000000003e+001 -1.2416000000000000e+002,
8.13E+04,2.22E+00,3.00E+01,1.90E+03,3.66E+02,9.90E+02,3.59E+02,4.0770000000000003e+001 -1.2417000000000000e+002,
7.02E+04,2.55E+00,3.70E+01,1.45E+03,2.93E+02,8.67E+02,3.10E+02,4.0780000000000001e+001 -1.2418000000000001e+002,
7.22E+04,2.51E+00,3.30E+01,1.08E+03,2.22E+02,6.56E+02,2.36E+02,4.0780000000000001e+001 -1.2418000000000001e+002,
6.70E+04,2.16E+00,3.40E+01,1.59E+03,3.64E+02,9.50E+02,3.17E+02,4.0780000000000001e+001 -1.2418000000000001e+002,
1.16E+05,4.85E+00,1.30E+01,2.17E+03,3.39E+02,9.51E+02,3.53E+02,4.0750000000000000e+001 -1.2417000000000000e+002,
8.28E+04,2.81E+00,2.60E+01,1.78E+03,3.61E+02,9.92E+02,3.80E+02,4.0759999999999998e+001 -1.2417000000000000e+002,
6.90E+04,2.44E+00,3.00E+01,2.98E+03,6.34E+02,1.37E+03,5.83E+02,4.0770000000000003e+001 -1.2419000000000000e+002,
6.75E+04,1.75E+00,5.00E+01,3.40E+02,7.40E+01,2.35E+02,8.30E+01,4.0810000000000002e+001 -1.2415000000000001e+002,
7.26E+04,2.50E+00,3.20E+01,1.37E+03,3.12E+02,8.72E+02,3.06E+02,4.0799999999999997e+001 -1.2414000000000000e+002,
7.41E+04,1.75E+00,4.70E+01,1.49E+03,3.35E+02,7.65E+02,3.29E+02,4.0799999999999997e+001 -1.2415000000000001e+002,
7.47E+04,1.61E+00,5.20E+01,2.17E+03,4.80E+02,9.08E+02,4.51E+02,4.0799999999999997e+001 -1.2416000000000000e+002,
7.41E+04,1.14E+00,5.20E+01,1.70E+03,5.00E+02,9.52E+02,4.35E+02,4.0799999999999997e+001 -1.2416000000000000e+002,
8.10E+04,2.49E+00,3.80E+01,1.55E+03,2.90E+02,8.73E+02,2.91E+02,4.0789999999999999e+001 -1.2414000000000000e+002,
1.04E+05,3.17E+00,4.10E+01,2.13E+03,3.58E+02,9.11E+02,3.49E+02,4.0780000000000001e+001 -1.2415000000000001e+002,
8.18E+04,3.80E+00,4.60E+01,1.98E+03,3.46E+02,7.91E+02,3.49E+02,4.0780000000000001e+001 -1.2416000000000000e+002,
9.06E+04,2.11E+00,4.60E+01,3.04E+03,5.97E+02,1.21E+03,5.41E+02,4.0789999999999999e+001 -1.2416000000000000e+002,
8.64E+04,3.02E+00,3.70E+01,2.69E+03,4.88E+02,1.26E+03,4.86E+02,4.0789999999999999e+001 -1.2415000000000001e+002,
9.28E+04,3.42E+00,3.50E+01,2.43E+03,4.23E+02,9.82E+02,4.32E+02,4.0780000000000001e+001 -1.2414000000000000e+002,
9.96E+04,2.91E+00,2.70E+01,3.05E+03,6.05E+02,1.41E+03,5.71E+02,4.0770000000000003e+001 -1.2414000000000000e+002,
1.01E+05,3.38E+00,2.40E+01,2.86E+03,5.11E+02,1.39E+03,5.12E+02,4.0759999999999998e+001 -1.2415000000000001e+002,
9.00E+04,3.40E+00,3.60E+01,2.11E+03,3.74E+02,8.29E+02,3.68E+02,4.0780000000000001e+001 -1.2415000000000001e+002,
9.61E+04,2.55E+00,2.30E+01,9.59E+02,2.12E+02,4.25E+02,1.75E+02,4.0810000000000002e+001 -1.2411000000000000e+002,
8.69E+04,2.11E+00,3.40E+01,2.14E+03,4.20E+02,1.06E+03,3.82E+02,4.0780000000000001e+001 -1.2413000000000000e+002,
8.11E+04,2.25E+00,3.10E+01,2.15E+03,4.62E+02,1.26E+03,4.20E+02,4.0799999999999997e+001 -1.2413000000000000e+002,
8.30E+04,2.88E+00,2.90E+01,2.47E+03,4.53E+02,1.13E+03,4.27E+02,4.0789999999999999e+001 -1.2413000000000000e+002,
9.28E+04,3.58E+00,3.20E+01,2.02E+03,3.59E+02,8.55E+02,3.46E+02,4.0789999999999999e+001 -1.2413000000000000e+002,
9.81E+04,3.22E+00,3.40E+01,4.18E+03,7.02E+02,1.89E+03,6.69E+02,4.0859999999999999e+001 -1.2406000000000000e+002,
1.43E+05,3.52E+00,3.10E+01,2.41E+03,4.28E+02,1.01E+03,4.01E+02,4.0850000000000001e+001 -1.2405000000000000e+002,
1.34E+05,3.98E+00,2.20E+01,2.59E+03,4.35E+02,1.20E+03,4.42E+02,4.0799999999999997e+001 -1.2402000000000000e+002,
1.50E+05,1.12E+00,1.80E+01,1.29E+03,4.84E+02,8.05E+02,5.02E+02,4.0859999999999999e+001 -1.2408000000000000e+002,
7.50E+04,1.17E+00,2.50E+01,1.32E+03,3.87E+02,7.94E+02,3.79E+02,4.0859999999999999e+001 -1.2409000000000000e+002,
8.75E+04,1.16E+00,4.40E+01,6.92E+02,2.06E+02,3.98E+02,2.11E+02,4.0869999999999997e+001 -1.2409000000000000e+002,
9.92E+04,2.21E+00,4.70E+01,1.77E+03,3.26E+02,7.96E+02,3.33E+02,4.0869999999999997e+001 -1.2406999999999999e+002,
1.01E+05,1.15E+00,2.90E+01,1.71E+03,4.69E+02,9.90E+02,4.25E+02,4.0869999999999997e+001 -1.2408000000000000e+002,
1.06E+05,2.22E+00,5.00E+01,9.21E+02,1.87E+02,4.20E+02,1.87E+02,4.0880000000000003e+001 -1.2409000000000000e+002,
1.53E+05,7.68E-01,3.10E+01,3.34E+02,1.34E+02,7.80E+02,1.30E+02,4.0869999999999997e+001 -1.2406999999999999e+002,
5.75E+04,1.73E+00,3.30E+01,2.24E+03,5.06E+02,1.17E+03,4.41E+02,4.0880000000000003e+001 -1.2415000000000001e+002,
8.11E+04,2.07E+00,3.50E+01,2.99E+03,5.78E+02,1.58E+03,5.85E+02,4.0880000000000003e+001 -1.2409999999999999e+002,
7.41E+04,1.53E+00,3.10E+01,1.98E+03,4.95E+02,1.05E+03,4.67E+02,4.0880000000000003e+001 -1.2409000000000000e+002,
8.21E+04,2.43E+00,2.60E+01,2.68E+03,5.55E+02,1.35E+03,5.26E+02,4.0880000000000003e+001 -1.2409000000000000e+002,
9.26E+04,2.73E+00,1.80E+01,4.03E+03,7.98E+02,1.95E+03,7.75E+02,4.0899999999999999e+001 -1.2409999999999999e+002,
5.08E+04,3.35E+00,5.20E+01,1.11E+03,2.09E+02,5.44E+02,1.72E+02,4.0810000000000002e+001 -1.2423000000000000e+002,
1.40E+05,2.57E+00,1.20E+01,2.09E+03,4.24E+02,1.60E+03,4.38E+02,4.0880000000000003e+001 -1.2406000000000000e+002,
1.36E+05,3.05E+00,2.50E+01,2.40E+03,4.31E+02,9.83E+02,3.75E+02,4.0659999999999997e+001 -1.2373999999999999e+002,
7.88E+04,1.67E+00,1.30E+01,2.52E+03,7.19E+02,1.38E+03,6.28E+02,4.0909999999999997e+001 -1.2408000000000000e+002,
7.98E+04,2.06E+00,2.40E+01,2.39E+03,5.65E+02,1.06E+03,4.14E+02,4.1030000000000001e+001 -1.2376000000000001e+002,
3.67E+04,1.05E+00,3.10E+01,9.38E+02,2.38E+02,4.25E+02,1.57E+02,4.1320000000000000e+001 -1.2384999999999999e+002,
5.00E+04,1.82E+00,1.90E+01,1.97E+03,4.31E+02,1.17E+03,3.63E+02,4.1090000000000003e+001 -1.2372000000000000e+002,
5.92E+04,1.49E+00,1.90E+01,1.80E+03,3.84E+02,1.03E+03,3.27E+02,4.1109999999999999e+001 -1.2363000000000000e+002,
6.27E+04,1.81E+00,2.20E+01,1.58E+03,3.72E+02,6.86E+02,2.64E+02,4.1299999999999997e+001 -1.2366000000000000e+002,
8.38E+04,2.15E+00,1.70E+01,1.56E+03,3.45E+02,5.17E+02,2.22E+02,4.1009999999999998e+001 -1.2352000000000000e+002,
6.28E+04,2.02E+00,2.90E+01,1.03E+03,2.39E+02,5.09E+02,1.96E+02,4.1359999999999999e+001 -1.2408000000000000e+002,
1.19E+05,2.47E+00,2.20E+01,3.26E+03,7.99E+02,1.38E+03,5.78E+02,4.1130000000000003e+001 -1.2406000000000000e+002,
1.43E+05,3.02E+00,3.20E+01,1.02E+03,2.15E+02,4.21E+02,1.98E+02,4.1060000000000002e+001 -1.2414000000000000e+002,
9.79E+04,1.97E+00,2.60E+01,1.63E+03,3.80E+02,8.90E+02,3.70E+02,4.1039999999999999e+001 -1.2409999999999999e+002,
1.03E+05,3.54E+00,2.10E+01,1.51E+03,3.19E+02,9.43E+02,3.01E+02,4.0969999999999999e+001 -1.2401000000000001e+002,
9.88E+04,2.95E+00,2.90E+01,1.43E+03,2.68E+02,6.72E+02,2.66E+02,4.0920000000000002e+001 -1.2400000000000000e+002,
7.56E+04,2.46E+00,2.80E+01,1.47E+03,3.36E+02,8.11E+02,3.14E+02,4.0890000000000001e+001 -1.2401000000000001e+002,
8.42E+04,2.69E+00,4.10E+01,1.72E+03,3.72E+02,8.44E+02,3.36E+02,4.0880000000000003e+001 -1.2398000000000000e+002,
1.06E+05,3.29E+00,2.80E+01,1.27E+03,2.59E+02,5.19E+02,2.20E+02,4.0930000000000000e+001 -1.2388000000000000e+002,
7.55E+04,2.17E+00,2.30E+01,1.67E+03,3.85E+02,1.06E+03,3.90E+02,4.1020000000000003e+001 -1.2416000000000000e+002,
1.11E+05,2.68E+00,1.80E+01,3.30E+03,6.62E+02,1.55E+03,5.78E+02,4.0990000000000002e+001 -1.2408000000000000e+002,
9.60E+04,3.14E+00,2.00E+01,1.08E+03,2.14E+02,5.29E+02,1.96E+02,4.0950000000000003e+001 -1.2416000000000000e+002,
8.17E+04,2.96E+00,1.90E+01,1.73E+03,3.65E+02,8.66E+02,3.42E+02,4.0950000000000003e+001 -1.2411000000000000e+002,
9.96E+04,2.59E+00,1.80E+01,2.25E+03,4.84E+02,1.25E+03,4.72E+02,4.0950000000000003e+001 -1.2409000000000000e+002,
7.36E+04,3.51E+00,2.50E+01,2.39E+03,4.74E+02,1.30E+03,4.61E+02,4.0930000000000000e+001 -1.2411000000000000e+002,
9.02E+04,2.76E+00,1.70E+01,1.66E+03,3.29E+02,9.48E+02,3.57E+02,4.0930000000000000e+001 -1.2411000000000000e+002,
7.01E+04,2.31E+00,1.80E+01,1.55E+03,3.45E+02,9.41E+02,3.35E+02,4.0939999999999998e+001 -1.2408000000000000e+002,
1.27E+05,2.82E+00,1.20E+01,2.50E+03,4.91E+02,1.15E+03,4.62E+02,4.0920000000000002e+001 -1.2409000000000000e+002,
1.66E+05,5.03E+00,1.40E+01,1.45E+03,2.17E+02,5.16E+02,1.81E+02,4.0939999999999998e+001 -1.2405000000000000e+002,
7.84E+04,1.90E+00,1.70E+01,1.49E+03,3.45E+02,8.23E+02,3.16E+02,4.0950000000000003e+001 -1.2409999999999999e+002,
1.20E+05,2.99E+00,2.30E+01,2.10E+03,4.11E+02,1.02E+03,3.87E+02,4.0810000000000002e+001 -1.2406999999999999e+002,
1.20E+05,3.81E+00,2.80E+01,3.51E+03,6.34E+02,1.66E+03,5.98E+02,4.0719999999999999e+001 -1.2402000000000000e+002,
1.12E+05,3.97E+00,3.30E+01,6.44E+02,1.29E+02,3.34E+02,1.21E+02,4.0729999999999997e+001 -1.2409999999999999e+002,
1.29E+05,4.04E+00,1.70E+01,2.03E+03,3.38E+02,8.73E+02,3.13E+02,4.0740000000000002e+001 -1.2417000000000000e+002,
1.01E+05,2.84E+00,1.80E+01,2.58E+03,4.99E+02,1.38E+03,5.03E+02,4.0719999999999999e+001 -1.2414000000000000e+002,
1.31E+05,4.21E+00,2.30E+01,5.80E+02,1.17E+02,3.20E+02,1.09E+02,4.0670000000000002e+001 -1.2414000000000000e+002,
9.01E+04,3.54E+00,2.10E+01,5.69E+03,1.06E+03,2.91E+03,9.72E+02,4.0729999999999997e+001 -1.2419000000000000e+002,
5.81E+04,1.65E+00,3.20E+01,1.22E+03,3.31E+02,6.20E+02,2.68E+02,4.0750000000000000e+001 -1.2420999999999999e+002,
7.90E+04,2.52E+00,3.60E+01,2.35E+03,5.28E+02,1.19E+03,4.65E+02,4.0689999999999998e+001 -1.2427000000000000e+002,
1.07E+05,3.05E+00,3.50E+01,9.52E+02,1.78E+02,4.80E+02,1.79E+02,4.0619999999999997e+001 -1.2418000000000001e+002,
8.64E+04,2.90E+00,3.20E+01,1.60E+03,3.09E+02,7.06E+02,2.77E+02,4.0619999999999997e+001 -1.2417000000000000e+002,
9.21E+04,2.58E+00,4.30E+01,2.13E+03,3.99E+02,9.10E+02,3.89E+02,4.0619999999999997e+001 -1.2413000000000000e+002,
8.51E+04,2.45E+00,3.90E+01,1.32E+03,2.83E+02,6.42E+02,2.92E+02,4.0600000000000001e+001 -1.2416000000000000e+002,
7.96E+04,2.09E+00,3.90E+01,1.19E+03,2.38E+02,5.39E+02,2.12E+02,4.0590000000000003e+001 -1.2415000000000001e+002,
1.28E+05,4.03E+00,2.70E+01,1.15E+03,2.06E+02,5.21E+02,2.19E+02,4.0600000000000001e+001 -1.2414000000000000e+002,
6.68E+04,1.56E+00,2.20E+01,1.67E+03,4.05E+02,8.26E+02,3.82E+02,4.0590000000000003e+001 -1.2414000000000000e+002,
7.68E+04,2.18E+00,1.70E+01,2.99E+03,6.10E+02,1.54E+03,5.84E+02,4.0590000000000003e+001 -1.2414000000000000e+002,
9.52E+04,3.44E+00,3.20E+01,1.88E+03,3.40E+02,9.37E+02,3.53E+02,4.0590000000000003e+001 -1.2405000000000000e+002,
9.73E+04,2.76E+00,2.40E+01,2.98E+03,5.53E+02,1.37E+03,4.80E+02,4.0549999999999997e+001 -1.2409000000000000e+002,
9.26E+04,2.32E+00,3.10E+01,1.85E+03,3.65E+02,8.83E+02,3.10E+02,4.0570000000000000e+001 -1.2395999999999999e+002,
7.71E+04,1.72E+00,2.50E+01,2.02E+03,5.24E+02,7.46E+02,2.51E+02,4.0479999999999997e+001 -1.2373000000000000e+002,
9.25E+04,2.70E+00,2.50E+01,1.90E+03,3.57E+02,8.91E+02,3.55E+02,4.0579999999999998e+001 -1.2414000000000000e+002,
7.51E+04,2.14E+00,2.90E+01,2.86E+03,6.00E+02,1.31E+03,5.62E+02,4.0570000000000000e+001 -1.2414000000000000e+002,
